BIC;Name;Service SCT;Service SDD;Service COR1;Service B2B;Service SCC
AABAFI22   ;BANK OF ALAND PLC                                                                                                                           ;1;1;0;0;0
AABSDE31   ;AACHENER BAUSPARKASSE AKTIENGESELLSCHAFT                                                                                                    ;1;0;0;0;0
AACSDE33   ;SPARKASSE AACHEN                                                                                                                            ;1;1;0;1;1
AAKRDK22   ;KREDITBANKEN A/S                                                                                                                            ;1;1;0;1;0
AARBDE5W   ;AAREAL BANK AG                                                                                                                              ;1;1;0;1;1
AARBITR1   ;AAREAL BANK AG, ROMA BRANCH                                                                                                                 ;1;1;0;1;0
AASANO21   ;AASEN SPAREBANK                                                                                                                             ;1;0;0;0;0
ABANSI2X   ;ABANKA DD                                                                                                                                   ;1;1;0;1;0
ABBYGB2L   ;SANTANDER UK PLC                                                                                                                            ;1;0;0;0;0
ABCADEFF   ;ABC INTERNATIONAL BANK PLC, ZWEIGNIEDERLASSUNG FRANKFURT AM MAIN                                                                            ;1;1;0;1;0
ABCEGB2L   ;ABC INTERNATIONAL BANK PLC                                                                                                                  ;1;1;0;0;0
ABCOFRPP   ;ABC INTERNATIONAL BANK PARIS BRANCH                                                                                                         ;1;1;0;0;0
ABCOITMM   ;ABC INTERNATIONAL BANK PLC-MILAN BRANCH                                                                                                     ;1;1;0;0;0
ABERBE22   ;ANTWERPS BEROEPSKREDIET                                                                                                                     ;1;1;0;1;0
ABGRDEFF   ;PIRAEUS BANK SA (FRANKFURT BRANCH),EX AGRICULTURALBANK OF GREECE SA                                                                         ;1;1;0;1;1
ABKBDEB1   ;ALLGEMEINE BEAMTEN KASSE KREDITBANK AG                                                                                                      ;1;1;0;0;0
ABKLCY2N   ;ALPHA BANK CYPRUS LIMITED                                                                                                                   ;1;1;0;0;0
ABLPLT21   ;AB LIETUVOS PASTAS                                                                                                                          ;1;0;0;0;0
ABLVLULL   ;ABLV BANK LUXEMBOURG S.A.                                                                                                                   ;1;0;0;0;0
ABNAATWW   ;THE ROYAL BANK OF SCOTLAND PLC AUSTRIA (FORMERLY KNOWN AS RBS NV)                                                                           ;1;1;0;1;0
ABNABEBR   ;THE ROYAL BANK OF SCOTLAND PLC BELGIUM (FORMERLY KNOWN AS RBS NV)                                                                           ;1;1;0;1;0
ABNABE2A   ;ABN AMRO BANK N.V. BELGIAN BRANCH                                                                                                           ;1;1;0;1;0
ABNACHZ8   ;THE ROYAL BANK OF SCOTLAND PLC ZURICH (FORMERLY KNOWN AS RBS NV)                                                                            ;1;1;0;1;0
ABNACZPP   ;THE ROYAL BANK OF SCOTLAND PLC CZECH REPUBLIC (FORMERLY KNOWN AS RBS N                                                                      ;1;1;0;1;0
ABNADEFF   ;THE ROYAL BANK OF SCOTLAND PLC GERMANY (FORMERLY KNOWN AS RBS NV)                                                                           ;1;1;0;1;0
ABNADE55   ;RBS DEUTSCHLAND GMBH                                                                                                                        ;1;1;0;1;0
ABNADKKK   ;THE ROYAL BANK OF SCOTLAND PLC DENMARK (FORMERLY KNOWN AS RBS NV)                                                                           ;1;0;0;0;0
ABNAESMM   ;THE ROYAL BANK OF SCOTLAND PLC SUCURSAL EN ESPANA (FORMERLY KNOWN AS R                                                                      ;1;1;0;1;0
ABNAFRPP   ;THE ROYAL BANK OF SCOTLAND PLC FRANCE (FORMERLY KNOWN AS RBS NV)                                                                            ;1;1;0;1;0
ABNAGB2L   ;THE ROYAL BANK OF SCOTLAND PLC LONDON (FORMERLY KNOWN AS RBS NV)                                                                            ;1;1;0;1;0
ABNAIE2D   ;THE ROYAL BANK OF SCOTLAND PLC IRELAND (FORMERLY KNOWN AS RBS NV)                                                                           ;1;1;0;1;0
ABNAITMM   ;THE ROYAL BANK OF SCOTLAND PLC ITALY (FORMERLY KNOWN AS RBS NV)                                                                             ;1;1;0;1;0
ABNALULL   ;THE ROYAL BANK OF SCOTLAND PLC LUXEMBOURG BRANCH                                                                                            ;1;1;0;1;0
ABNALU2A   ;ABN AMRO BANK LUXEMBOURG S.A.                                                                                                               ;1;0;0;0;0
ABNANL2A   ;ABN AMRO BANK N.V.                                                                                                                          ;1;1;0;1;0
ABNANL2R   ;ABN AMRO BANK N.V.                                                                                                                          ;1;1;0;0;0
ABNAPLPW   ;ABN AMRO BANK (POLSKA) S.A.                                                                                                                 ;1;0;0;0;0
ABNASESS   ;THE ROYAL BANK OF SCOTLAND PLC NORDIC (FORMERLY KNOWN AS RBS NV)                                                                            ;1;0;0;0;0
ABNCNL2A   ;ABN AMRO CLEARING BANK N.V.                                                                                                                 ;1;0;0;0;0
ABOCDEFF   ;AGRICULTURAL BANK OF CHINA FRANKFURT BRANCH                                                                                                 ;1;1;0;1;0
ABRNIE21   ;PEOPLE FIRST CREDIT UNION LIMITED                                                                                                           ;1;1;0;0;0
ABRUIE21   ;ABBEYFEALE CREDIT UNION LIMITED                                                                                                             ;1;0;0;0;0
ABSGCHGG   ;HINDUJA BANK (SWITZERLAND) LTD                                                                                                              ;1;0;0;0;0
ABSOCH22   ;ALTERNATIVE BANK SCHWEIZ AG                                                                                                                 ;1;0;0;0;0
ABVRATW1   ;Volksbank Wien AG                                                                                                                           ;1;1;0;0;0
ACARIT21   ;CRA CANTU                                                                                                                                   ;1;1;0;1;0
ACARIT22   ;CASSA RURALE ED ARTIGIANA DI CANTU' BANCA DI CREDITO COOPERATIVO - S.C                                                                      ;1;1;0;1;0
ACRGCH22   ;ACREVIS BANK AG                                                                                                                             ;1;0;0;0;0
ACRUIE21   ;ST. ANTHONY'S AND CLADDAGH CREDIT UNION LIMITED                                                                                             ;1;1;0;0;0
ACTVPTPL   ;ACTIVOBANK                                                                                                                                  ;1;1;0;0;0
ADAGGB2S   ;ADAM AND COMPANY PLC                                                                                                                        ;1;0;0;0;0
ADIABE22   ;KBC BANK BUSINESS CENTER DIAMANT                                                                                                            ;1;1;0;1;0
ADVAIT31XXX;BANCA SINTESI SPA                                                                                                                           ;1;0;0;0;0
